Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
2005,Muller and Schlegel 1999 AQUAT MICROB ECOL,Predator,3,,Aquatic,Fresh,Unicell,Protozoan,Ciliate,,Histiobalantium bodamicum,,2,Unicell,Algae,Cryptophyte,,,Cryptomonas sp.,,1,Raw data,N,0,15,,,,8.00E+01,3.40E-05,Original species volume,1,2.35E-07,Average genus mass,3,m^3 per pred per day,0.77,2.50E-09,1.97E-09,2.97E-09,2.55E-10,1.89E-11,3.06E-03,
2006,Jeong et al 2018 JEM,Predator,3,,Aquatic,Marine,Unicell,Protozoan,Ciliate,,Strombidinopsis sp.,,,Unicell,Protozoan,Dinoflagellate,,,Yihiella yeosuensis,,,Mean,N,0,10,,,,6.00E+01,1.12E-03,Original species volume,1,2.00E-07,Original species volume,1,m^3 per pred per day,0.9,6.91E-08,6.14E-08,7.79E-08,3.69E-11,2.99E-12,1.24E-10,
2007,Yoo et al 2018 MBR,Predator,3,,Aquatic,Marine,Unicell,Protozoan,Dinoflagellate,,Thecadinium kofoidii,,2,Unicell,Algae,Cryptophyte,,,Rhodomonas salina,,1,Mean,N,0,20,,,,5.00E+01,7.87E-06,Original species volume,1,4.48E-07,Original species volume,2,m^3 per pred per day,0.07,3.37E-11,2.61E-11,5.13E-10,5.78E-02,3.17E-02,5.06E-01,
2008,Yoo et al 2018 HARM ALG,Predator,3,,Aquatic,Marine,Unicell,Protozoan,Euglenid,,Eutreptiella eupharyngea,,2,Unicell,Prokaryote,Eubacteria,,,Eubactaria,,1,Mean,N,0,20,,,,8.00E+01,1.43E-06,Original species volume,1,1.79E-10,Original species volume,1,m^3 per pred per day,0.8,1.07E-11,8.25E-12,2.57E-11,9.71E-04,5.24E-04,7.30E-03,
2009,Yoo et al 2018 HARM ALG,Predator,3,,Aquatic,Marine,Unicell,Protozoan,Euglenid,,Eutreptiella eupharyngea,,2,Unicell,Prokaryote,Cyanobacteria,,,Synechococcus sp.,,1,Mean,N,0,20,,,,8.00E+01,1.43E-06,Original species volume,1,5.22E-10,Original species volume,1,m^3 per pred per day,0.6,1.18E-12,7.89E-13,2.06E-12,6.55E-03,2.41E-03,1.10E-02,
2010,Lim et al 2018 HARM ALG,Predator,3,,Aquatic,Marine,Unicell,Protozoan,Dinoflagellate,,Takayama tasmanica,,,Unicell,Protozoan,Dinoflagellate,,,Alexandrium minutum,,,Mean,N,0,20,,,,3.80E+01,7.51E-06,Original species volume,1,3.10E-06,Original species volume,2,m^3 per pred per day,0.19,9.01E-10,1.23E-10,3.12E-09,8.68E-01,5.16E-02,1.27E+00,
2011,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,1st instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,2.83E+01,,,,,9.67E-01,Alternate species length,1,m^2 per pred per day,0.53,5.10E-03,3.98E-03,6.47E-03,2.49E-02,2.16E-02,2.79E-02,
2012,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,2nd instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,2.83E+01,,9.02E-01,Alternate species mass,1,9.67E-01,Alternate species length,1,m^2 per pred per day,0.8,4.96E-03,4.38E-03,5.65E-03,1.91E-02,1.83E-02,2.02E-02,
2013,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,3rd instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,2.83E+01,,2.80E+00,Alternate species mass,2,9.67E-01,Alternate species length,1,m^2 per pred per day,0.81,5.02E-03,4.57E-03,5.55E-03,1.36E-02,1.26E-02,1.46E-02,
2014,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,4th instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,2.83E+01,,7.43E+00,Alternate species mass,3,9.67E-01,Alternate species length,1,m^2 per pred per day,0.8,5.28E-03,4.80E-03,5.76E-03,1.28E-02,1.18E-02,1.38E-02,
2015,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,2.83E+01,,6.79E+00,Alternate species mass,4,9.67E-01,Alternate species length,1,m^2 per pred per day,0.97,2.86E-03,2.63E-03,3.08E-03,2.43E-03,1.78E-03,2.96E-03,
2016,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,1st instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,5.03E+01,,,,,9.67E-01,Alternate species length,1,m^2 per pred per day,0.36,9.08E-03,6.55E-03,1.32E-02,3.04E-02,2.51E-02,3.56E-02,
2017,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,2nd instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,5.03E+01,,9.02E-01,Alternate species mass,1,9.67E-01,Alternate species length,1,m^2 per pred per day,0.64,8.42E-03,7.30E-03,1.00E-02,1.77E-02,1.62E-02,1.92E-02,
2018,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,3rd instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,5.03E+01,,2.80E+00,Alternate species mass,2,9.67E-01,Alternate species length,1,m^2 per pred per day,0.73,9.09E-03,7.69E-03,1.05E-02,1.45E-02,1.32E-02,1.59E-02,
2019,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,4th instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,5.03E+01,,7.43E+00,Alternate species mass,3,9.67E-01,Alternate species length,1,m^2 per pred per day,0.79,9.55E-03,8.04E-03,1.10E-02,1.35E-02,1.19E-02,1.49E-02,
2020,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,5.03E+01,,6.79E+00,Alternate species mass,4,9.67E-01,Alternate species length,1,m^2 per pred per day,1,5.10E-03,4.93E-03,5.25E-03,1.97E-03,1.81E-03,2.11E-03,
2021,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,1st instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,1.13E+02,,,,,9.67E-01,Alternate species length,1,m^2 per pred per day,0.41,1.84E-02,1.23E-02,2.91E-02,2.71E-02,2.28E-02,3.12E-02,
2022,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,2nd instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,1.13E+02,,9.02E-01,Alternate species mass,1,9.67E-01,Alternate species length,1,m^2 per pred per day,0.62,1.76E-02,1.39E-02,2.22E-02,1.98E-02,1.79E-02,2.17E-02,
2023,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,3rd instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,1.13E+02,,2.80E+00,Alternate species mass,2,9.67E-01,Alternate species length,1,m^2 per pred per day,0.75,2.05E-02,1.80E-02,2.32E-02,1.53E-02,1.40E-02,1.68E-02,
2024,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,4th instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,1.13E+02,,7.43E+00,Alternate species mass,3,9.67E-01,Alternate species length,1,m^2 per pred per day,0.77,2.01E-02,1.71E-02,2.37E-02,1.35E-02,1.20E-02,1.47E-02,
2025,Ya?ar and Ozger 2005 TÜRK ENTOMOL DERG,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Oenopia conglobata,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Mealy plum aphid,Hyalopterus pruni,,2,Mean,N,,25,,1,1.13E+02,,6.79E+00,Alternate species mass,4,9.67E-01,Alternate species length,1,m^2 per pred per day,0.97,1.23E-02,1.13E-02,1.32E-02,2.37E-03,1.66E-03,2.92E-03,
2026,Kreuzinger-Janik et al 2019 SCI REPORTS,Predator,2,,Aquatic,Fresh,Metazoan,Invertebrate,Enoplea,Dorylaimida,Prionchulus muscorum,Adult,,Metazoan,Invertebrate,Nematode,Chromadorea,,Caenorhabditis elegans,Juvenile,,Raw data,N,72,20,,1,3.14E+00,,4.60E-03,Original species mass,1,6.80E-05,Original species mass,1,m^2 per pred per day,0.49,5.98E-04,3.39E-04,1.03E-03,4.16E-03,1.39E-03,6.69E-03,large prey without substrate
2027,Kreuzinger-Janik et al 2019 SCI REPORTS,Predator,2,,Aquatic,Fresh,Metazoan,Invertebrate,Enoplea,Dorylaimida,Prionchulus muscorum,Adult,,Metazoan,Invertebrate,Nematode,Chromadorea,,Caenorhabditis elegans,Juvenile,,Raw data,N,72,20,,1,3.14E+00,,4.60E-03,Original species mass,1,6.80E-05,Original species mass,1,m^2 per pred per day,0.71,6.77E-04,4.76E-04,9.79E-04,2.66E-03,1.31E-03,4.11E-03,Large prey with substrate
2028,Kreuzinger-Janik et al 2019 SCI REPORTS,Predator,2,,Aquatic,Fresh,Metazoan,Invertebrate,Enoplea,Dorylaimida,Prionchulus muscorum,Adult,,Metazoan,Invertebrate,Nematode,Chromadorea,,Caenorhabditis elegans,Juvenile,,Raw data,N,72,20,,1,3.14E+00,,4.60E-03,Original species mass,1,3.60E-05,Original species mass,2,m^2 per pred per day,0.64,9.59E-04,7.17E-04,1.28E-03,1.80E-03,9.27E-04,2.69E-03,small prey without substrate
2029,Kreuzinger-Janik et al 2019 SCI REPORTS,Predator,2,,Aquatic,Fresh,Metazoan,Invertebrate,Enoplea,Dorylaimida,Prionchulus muscorum,Adult,,Metazoan,Invertebrate,Nematode,Chromadorea,,Caenorhabditis elegans,Juvenile,,Raw data,N,72,20,,1,3.14E+00,,4.60E-03,Original species mass,1,3.60E-05,Original species mass,2,m^2 per pred per day,0.72,8.03E-04,5.40E-04,1.16E-03,1.58E-03,6.10E-04,2.46E-03,small prey with substrate
2030,Ali et al 2011 J INSECT SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus womersleyi,Gravid females,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus macfarlanei,Egg,2,Mean,N,24,25,,1,4.00E+00,,,,,2.11E-03,Alternate genus length,2,m^2 per pred per day,0.37,4.30E-04,2.76E-04,8.22E-04,7.01E-03,6.39E-09,1.48E-02,
2031,Ali et al 2011 J INSECT SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus womersleyi,Gravid females,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus macfarlanei,Larvae,2,Mean,N,24,25,,1,4.00E+00,,,,,,,,m^2 per pred per day,0.37,3.83E-04,2.70E-04,1.09E-03,3.97E-03,1.44E-09,1.42E-02,
2032,Ali et al 2011 J INSECT SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus womersleyi,Gravid females,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus macfarlanei,Protonymph,2,Mean,N,24,25,,1,4.00E+00,,,,,,,,m^2 per pred per day,0.28,5.28E-04,3.06E-04,1.04E-03,2.31E-02,1.45E-02,3.06E-02,
2033,Ali et al 2011 J INSECT SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus womersleyi,Gravid females,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus macfarlanei,Deutonymph,2,Mean,N,24,25,,1,4.00E+00,,,,,,,,m^2 per pred per day,0.33,3.76E-04,2.19E-04,1.29E-03,3.46E-02,2.21E-02,4.64E-02,
2034,Haskell et al 2017 PLOS ONE,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Salmoniformes,Oncorhynchus tshawytscha,Juvenile,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex,,2,Raw data,Y,48,2,,1,,5.70E+04,1.39E+05,Average genus mass,1,3.53E-01,Average species mass,16,m^3 per pred per day,0.57,1.04E-02,4.22E-03,1.99E-02,2.32E-05,1.49E-05,2.94E-05,
2035,Li et al 2018 Systemic & Applied Acarology,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus barkeri,Adult female,3,Metazoan,Invertebrate,Arachnid,Trombidiformes,Confused tarsonemid mite,Tarsonemus confusus,Egg,2,Raw data,N,24,25,,1,2.01E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,0.95,2.27E-04,2.01E-04,2.61E-04,8.76E-03,5.47E-03,1.18E-02,Temperature based on colony temperature
2036,Li et al 2018 Systemic & Applied Acarology,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus barkeri,Adult female,3,Metazoan,Invertebrate,Arachnid,Trombidiformes,Confused tarsonemid mite,Tarsonemus confusus,Larva,2,Raw data,N,24,25,,1,2.01E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,0.98,1.95E-04,1.87E-04,2.13E-04,4.01E-04,2.39E-11,2.92E-03,Temperature based on colony temperature
2037,Li et al 2018 Systemic & Applied Acarology,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus barkeri,Adult female,3,Metazoan,Invertebrate,Arachnid,Trombidiformes,Confused tarsonemid mite,Tarsonemus confusus,Quiescrnt larva,2,Raw data,N,24,25,,1,2.01E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,0.88,2.51E-04,2.06E-04,3.24E-04,1.95E-02,1.41E-02,2.55E-02,Temperature based on colony temperature
2038,Li et al 2018 Systemic & Applied Acarology,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus barkeri,Adult female,3,Metazoan,Invertebrate,Arachnid,Trombidiformes,Confused tarsonemid mite,Tarsonemus confusus,Adult,2,Raw data,N,24,25,,1,2.01E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,0.91,2.65E-04,2.21E-04,3.29E-04,1.41E-02,9.98E-03,1.78E-02,Temperature based on colony temperature
2039,Howard et al 2018 PEERJ,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,Adult male,,Metazoan,Invertebrate,Mollusk,Bivalve,Bay mussel,Mytilus trossulus,Adult,,Raw data,N,48,12,,1,2.48E+03,,8.24E+04,Original species length,1,3.46E+00,Original length,1,m^2 per pred per day,0.44,1.48E+00,4.81E-01,1.11E+01,1.56E-02,4.91E-03,3.22E-02,"British Columbia, Pacific Canada; introduced"
2040,Howard et al 2018 PEERJ,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,Adult male,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Adult,,Raw data,N,48,12,,1,2.48E+03,,8.24E+04,Original species length,1,3.46E+00,Original length,2,m^2 per pred per day,0.68,1.22E+00,5.81E-01,2.64E+00,1.80E-02,1.02E-02,2.69E-02,"Nova Scotia,  Atlantic Canada; introduced"
2041,Howard et al 2018 PEERJ,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,Adult male,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Adult,,Raw data,N,48,12,,1,2.48E+03,,8.24E+04,Original species length,1,3.46E+00,Original length,2,m^2 per pred per day,0.19,1.28E+00,3.68E-01,4.33E+00,4.67E-02,3.43E-02,6.67E-02,Northern Ireland; native
2042,Howard et al 2018 PEERJ,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,Adult male,,Metazoan,Invertebrate,Mollusk,Bivalve,Mediterranean mussel,Mytilus galloprovincialis,Adult,,Raw data,N,48,12,,1,2.48E+03,,8.24E+04,Original species length,1,3.46E+00,Original length,1,m^2 per pred per day,0.16,1.57E+00,4.81E-01,5.89E+00,5.99E-02,3.67E-02,9.83E-02,South Africa; introduced
2043,Cuthbert et al 2018 ROY SOC OPEN,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus duebeni celticus,Unparasitized male,,Metazoan,Invertebrate,Insect,Ephemeroptera,Large Dark Olive,Baetis rhodani,,,Mean,N,24,12,,1,5.03E+01,1.50E+02,3.80E+01,Original species length,5,4.23E+00,Original length,3,m^3 per pred per day,0.69,1.82E-04,1.49E-04,2.19E-04,5.77E-02,4.35E-02,6.98E-02,
2044,Cuthbert et al 2018 ROY SOC OPEN,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus duebeni celticus,Unparasitized male,,Metazoan,Invertebrate,Crustacean,Amphipod,Northern lake crangonyctid,Crangonyx gracilis,,,Mean,N,24,12,,1,5.03E+01,1.50E+02,3.80E+01,Original species length,5,8.14E-03,Original length,1,m^3 per pred per day,0.43,9.43E-05,6.79E-05,1.26E-04,5.20E-02,1.47E-02,8.16E-02,
2045,Joyce et al 2019 MAR ENV RES,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Asteroidea,Forcipulatida,Asterias rubens,,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Juvenile,,Mean,N,48,13,,1,9.36E+02,,8.00E+01,arm length; mm,,1.31E+00,Original length,1,m^2 per pred per day,0.72,4.28E-02,3.66E-02,5.37E-02,3.02E-02,1.07E-02,5.41E-02,
2046,Joyce et al 2019 MAR ENV RES,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Asteroidea,Forcipulatida,Asterias rubens,,,Metazoan,Invertebrate,Mollusk,Bivalve,Pacific oyster,Crassostrea gigas,Juvenile,,Mean,N,48,13,,1,9.36E+02,,8.00E+01,arm length; mm,,1.31E+00,Original species length,1,m^2 per pred per day,0.44,1.59E-02,1.40E-02,1.90E-02,1.46E-07,8.46E-09,5.57E-02,
2047,Joyce et al 2019 MAR ENV RES,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,"Unparasitized, intact claw males",,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Juvenile,,Mean,N,48,13,,1,2.02E+03,,8.24E+04,Original species length,1,1.31E+00,Original length,1,m^2 per pred per day,0.58,1.26E+00,9.65E-01,1.67E+00,6.47E-03,4.58E-03,8.31E-03,
2048,Joyce et al 2019 MAR ENV RES,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,"Unparasitized, intact claw males",,Metazoan,Invertebrate,Mollusk,Bivalve,Pacific oyster,Crassostrea gigas,Juvenile,,Mean,N,48,13,,1,2.02E+03,,8.24E+04,Original species length,1,1.31E+00,Original species length,1,m^2 per pred per day,0.37,4.99E-01,3.95E-01,6.43E-01,4.34E-03,4.21E-04,7.23E-03,
2049,Hammill et al 2015 Freshwater Biology,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Mecistogaster modesta,Larva,,Metazoan,Invertebrate,Insect,Diptera,,Culex jenningsi,3rd/4th instar,,Raw data,N,24,,,1,,2.00E+02,1.71E+01,standard length; mm,1,4.92E+00,Average genus mass,1,m^3 per pred per day,0.86,5.63E-03,3.85E-03,8.69E-03,2.87E-03,1.27E-10,3.88E-03,Control
2050,Hammill et al 2015 Freshwater Biology,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Mecistogaster modesta,Larva,,Metazoan,Invertebrate,Insect,Diptera,,Culex jenningsi,3rd/4th instar,,Raw data,N,24,,,1,,2.00E+02,1.71E+01,standard length; mm,1,4.92E+00,Average genus mass,1,m^3 per pred per day,0.89,2.07E-03,1.71E-03,2.96E-03,6.05E-04,2.59E-11,3.34E-03,Predator conditioned
2051,Hammill et al 2015 Freshwater Biology,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Mecistogaster modesta,Larva,,Metazoan,Invertebrate,Insect,Diptera,,Wyeomyia abebela,3rd/4th instar,,Raw data,N,24,,,1,,2.00E+02,1.71E+01,standard length; mm,1,,,,m^3 per pred per day,0.88,5.63E-03,4.01E-03,8.12E-03,2.59E-03,9.33E-04,3.45E-03,Control
2052,Hammill et al 2015 Freshwater Biology,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Mecistogaster modesta,Larva,,Metazoan,Invertebrate,Insect,Diptera,,Wyeomyia abebela,3rd/4th instar,,Raw data,N,24,,,1,,2.00E+02,1.71E+01,standard length; mm,1,,,,m^3 per pred per day,0.89,4.65E-03,3.25E-03,6.64E-03,2.33E-03,1.02E-03,3.18E-03,Predator conditioned
2053,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,1st instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,4.00E-02,Original species mass,1,2.00E-03,Original species mass,1,m^3 per pred per day,0.79,7.01E-05,5.43E-05,9.12E-05,8.08E-02,5.37E-02,9.72E-02,
2054,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,2nd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,8.00E-02,Original species mass,2,2.00E-03,Original species mass,1,m^3 per pred per day,0.95,3.04E-05,2.46E-05,4.01E-05,5.07E-02,3.95E-02,7.16E-02,
2055,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,3rd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,1.60E-01,Original species mass,3,2.00E-03,Original species mass,1,m^3 per pred per day,0.79,2.89E-05,1.95E-05,4.30E-05,3.40E-02,2.15E-03,5.05E-02,
2056,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,4th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,3.20E-01,Original species mass,4,2.00E-03,Original species mass,1,m^3 per pred per day,0.92,7.89E-05,6.40E-05,9.75E-05,2.05E-02,1.48E-02,2.70E-02,
2057,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,5th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,6.40E-01,Original species mass,5,2.00E-03,Original species mass,1,m^3 per pred per day,0.86,8.11E-05,5.31E-05,1.20E-04,1.54E-02,2.32E-03,2.95E-02,
2058,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,adult,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,1.73E+00,Original species mass,6,2.00E-03,Original species mass,1,m^3 per pred per day,0.91,9.67E-05,7.71E-05,1.23E-04,1.01E-02,2.95E-03,1.41E-02,
2059,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,1st instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,4.00E-02,Original species mass,1,5.30E-02,Original species mass,17,m^3 per pred per day,0.79,1.18E-05,7.63E-06,2.02E-05,7.81E-02,1.79E-09,1.26E-01,
2060,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,2nd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,8.00E-02,Original species mass,2,5.30E-02,Original species mass,17,m^3 per pred per day,0.96,1.83E-05,1.38E-05,2.32E-05,6.30E-02,8.34E-04,7.83E-02,
2061,Simonis 2013 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Trichocorixa verticalis,3rd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,non-gravid adult female,2,Raw data,N,24,18,,1,,1.00E+02,1.60E-01,Original species mass,3,5.30E-02,Original species mass,17,m^3 per pred per day,0.84,2.45E-05,1.69E-05,3.23E-05,7.23E-02,2.93E-02,1.01E-01,
